Date,Ward,Temp,Humidity,Rainfall,Wind_Speed,Dew_Point,pH,Turbidity,Dissolved_Oxygen,BOD,Qi_pH,Qi_Turbidity,Qi_Dissolved_Oxygen,Qi_BOD,WQI,Reported_Cases,Disease_Type,Hospital_Admissions,Fatalities
2024-03-09,Ward-1,35.5,69.1,126.7,37.6,15.6,6.94,2.61,4.36,2.32,-3.999999999999974,52.2,106.66666666666669,77.33333333333333,65.39200000000001,8,Flu,38,1
2024-03-09,Ward-1,35.5,69.1,126.7,37.6,15.6,7.43,4.24,8.98,3.35,28.666666666666647,84.80000000000001,58.54166666666666,111.66666666666669,71.04549999999999,70,Cholera,73,2
2024-03-09,Ward-1,35.5,69.1,126.7,37.6,15.6,7.43,4.24,8.98,3.35,28.666666666666647,84.80000000000001,58.54166666666666,111.66666666666669,71.04549999999999,8,Flu,38,1
2024-03-10,Ward-1,37.8,51.0,191.5,5.3,6.9,7.19,4.35,6.77,2.89,12.666666666666693,86.99999999999999,81.5625,96.33333333333334,71.41125000000001,10,Cholera,60,6
2024-03-12,Ward-1,19.6,39.7,52.2,40.2,24.4,7.09,5.22,8.51,3.19,5.999999999999991,104.4,63.4375,106.33333333333331,69.36608333333334,34,Typhoid,67,3
2024-03-14,Ward-1,20.6,59.2,35.3,12.0,9.5,6.79,4.13,5.06,4.72,-13.999999999999998,82.6,99.375,157.33333333333331,87.97683333333333,102,Dengue,44,7
2024-03-17,Ward-1,14.8,75.3,191.1,45.6,30.0,7.15,4.65,4.91,1.41,10.000000000000025,93.0,100.9375,47.0,64.55875,11,Cholera,25,1
2024-03-30,Ward-1,16.3,57.9,12.5,23.7,21.4,6.96,5.64,5.12,2.85,-2.6666666666666687,112.79999999999998,98.75,95.0,77.63633333333334,4,Dengue,54,6
2024-04-19,Ward-1,16.7,87.8,148.6,14.8,15.7,6.92,4.68,5.89,3.58,-5.3333333333333375,93.6,90.72916666666669,119.33333333333334,78.06391666666669,12,Flu,74,7
2024-05-01,Ward-1,30.2,49.2,170.6,5.1,24.2,7.06,1.9,8.52,4.1,3.999999999999974,38.0,63.33333333333334,136.66666666666666,66.75999999999999,91,COVID-19,43,8
2024-05-02,Ward-1,24.2,63.3,150.0,44.3,14.9,6.9,4.33,4.25,2.34,-6.666666666666643,86.6,107.8125,77.99999999999999,70.88558333333334,88,COVID-19,26,4
2024-05-10,Ward-1,38.1,81.4,28.2,28.8,18.9,6.96,5.03,7.81,1.49,-2.6666666666666687,100.6,70.72916666666667,49.66666666666666,53.46391666666667,8,Dengue,29,5
2024-05-19,Ward-1,10.2,54.4,186.8,23.8,21.2,7.12,1.33,5.04,4.93,8.000000000000007,26.6,99.58333333333331,164.33333333333334,85.88766666666669,51,Dengue,15,1
2024-05-29,Ward-1,10.6,58.8,153.3,47.0,28.2,6.95,3.46,4.04,1.05,-3.333333333333321,69.19999999999999,110.0,35.0,57.53866666666667,91,Flu,15,4
2024-06-03,Ward-1,40.1,32.0,50.9,37.5,28.6,6.93,3.67,6.64,2.84,-4.666666666666686,73.4,82.91666666666667,94.66666666666669,65.41566666666667,18,COVID-19,1,3
2024-06-03,Ward-1,40.1,32.0,50.9,37.5,28.6,6.93,3.67,6.64,2.84,-4.666666666666686,73.4,82.91666666666667,94.66666666666669,65.41566666666667,1,Typhoid,72,3
2024-06-03,Ward-1,40.1,32.0,50.9,37.5,28.6,7.8,2.41,5.05,1.47,53.33333333333332,48.2,99.47916666666669,49.0,66.98825000000001,18,COVID-19,1,3
2024-06-03,Ward-1,40.1,32.0,50.9,37.5,28.6,7.8,2.41,5.05,1.47,53.33333333333332,48.2,99.47916666666669,49.0,66.98825000000001,1,Typhoid,72,3
2024-06-03,Ward-1,23.9,65.7,99.3,43.8,22.6,6.93,3.67,6.64,2.84,-4.666666666666686,73.4,82.91666666666667,94.66666666666669,65.41566666666667,18,COVID-19,1,3
2024-06-03,Ward-1,23.9,65.7,99.3,43.8,22.6,6.93,3.67,6.64,2.84,-4.666666666666686,73.4,82.91666666666667,94.66666666666669,65.41566666666667,1,Typhoid,72,3
2024-06-03,Ward-1,23.9,65.7,99.3,43.8,22.6,7.8,2.41,5.05,1.47,53.33333333333332,48.2,99.47916666666669,49.0,66.98825000000001,18,COVID-19,1,3
2024-06-03,Ward-1,23.9,65.7,99.3,43.8,22.6,7.8,2.41,5.05,1.47,53.33333333333332,48.2,99.47916666666669,49.0,66.98825000000001,1,Typhoid,72,3
2024-06-09,Ward-1,22.8,75.1,53.9,27.6,14.7,6.84,3.87,4.99,2.57,-10.666666666666677,77.4,100.10416666666666,85.66666666666666,68.05941666666666,55,Dengue,34,6
2024-06-11,Ward-1,23.4,88.5,8.2,39.3,28.7,6.78,2.19,8.16,4.49,-14.66666666666665,43.8,67.08333333333333,149.66666666666669,68.49633333333334,97,Typhoid,48,9
2024-06-14,Ward-1,28.6,84.7,134.9,26.6,9.7,6.73,5.91,4.92,3.16,-17.99999999999997,118.2,100.83333333333331,105.33333333333334,78.72866666666667,10,Cholera,44,4
2024-06-17,Ward-1,32.2,76.0,47.4,32.7,15.2,7.12,5.63,8.69,4.35,8.000000000000007,112.6,61.56250000000001,145.0,81.30725000000001,72,Typhoid,77,0
2024-06-21,Ward-1,38.2,45.6,97.2,14.6,24.2,6.57,2.29,6.15,3.18,-28.666666666666647,45.8,88.02083333333333,106.0,60.62841666666667,89,Typhoid,34,0
2024-06-23,Ward-1,20.4,53.5,4.8,32.2,12.5,6.77,3.93,6.65,3.86,-15.333333333333362,78.60000000000001,82.8125,128.66666666666666,73.38558333333333,18,Malaria,1,5
2024-06-26,Ward-1,38.8,92.8,18.7,6.2,14.1,7.3,4.28,8.83,1.34,19.999999999999982,85.60000000000001,60.10416666666667,44.66666666666667,51.03808333333333,70,Flu,19,2
2024-06-28,Ward-1,19.7,31.9,168.6,20.0,5.6,6.61,5.16,8.99,1.95,-25.99999999999998,103.2,58.4375,65.0,48.86075000000001,103,Typhoid,35,4
2024-07-01,Ward-1,12.7,39.3,157.6,37.1,25.6,6.85,2.37,6.94,3.04,-10.000000000000025,47.400000000000006,79.79166666666666,101.33333333333334,60.8865,22,Malaria,40,7
2024-07-05,Ward-1,39.8,25.4,20.8,40.5,11.2,7.0,5.09,6.71,4.13,0.0,101.8,82.1875,137.66666666666666,82.77841666666667,111,Malaria,78,7
2024-07-11,Ward-1,32.6,21.4,161.5,24.0,16.3,7.22,1.35,6.2,1.72,14.66666666666665,27.0,87.49999999999999,57.333333333333336,53.35,8,Dengue,62,4
2024-07-12,Ward-1,21.1,74.8,103.7,21.6,28.4,7.0,5.38,7.12,3.49,0.0,107.6,77.91666666666667,116.33333333333331,76.281,104,COVID-19,5,2
2024-07-14,Ward-1,16.0,64.3,197.7,35.5,27.5,7.4,1.92,4.45,2.4,26.66666666666669,38.4,105.72916666666666,80.0,70.35858333333334,98,Malaria,31,8
2024-07-14,Ward-1,16.0,64.3,197.7,35.5,27.5,7.4,1.92,4.45,2.4,26.66666666666669,38.4,105.72916666666666,80.0,70.35858333333334,47,Typhoid,1,5
2024-07-14,Ward-1,16.0,64.3,197.7,35.5,27.5,7.36,2.15,6.8,2.07,24.00000000000002,43.0,81.25,69.0,59.10500000000001,98,Malaria,31,8
2024-07-14,Ward-1,16.0,64.3,197.7,35.5,27.5,7.36,2.15,6.8,2.07,24.00000000000002,43.0,81.25,69.0,59.10500000000001,47,Typhoid,1,5
2024-07-14,Ward-1,30.5,65.5,48.3,47.8,21.5,7.4,1.92,4.45,2.4,26.66666666666669,38.4,105.72916666666666,80.0,70.35858333333334,98,Malaria,31,8
2024-07-14,Ward-1,30.5,65.5,48.3,47.8,21.5,7.4,1.92,4.45,2.4,26.66666666666669,38.4,105.72916666666666,80.0,70.35858333333334,47,Typhoid,1,5
2024-07-14,Ward-1,30.5,65.5,48.3,47.8,21.5,7.36,2.15,6.8,2.07,24.00000000000002,43.0,81.25,69.0,59.10500000000001,98,Malaria,31,8
2024-07-14,Ward-1,30.5,65.5,48.3,47.8,21.5,7.36,2.15,6.8,2.07,24.00000000000002,43.0,81.25,69.0,59.10500000000001,47,Typhoid,1,5
2024-07-16,Ward-1,30.7,87.6,127.5,38.4,11.8,6.72,4.6,8.52,4.81,-18.66666666666669,92.0,63.33333333333334,160.33333333333331,77.03999999999999,2,Flu,22,9
2024-07-17,Ward-1,23.0,78.3,56.4,22.1,15.1,7.52,4.38,5.93,3.2,34.66666666666664,87.6,90.3125,106.66666666666669,82.21558333333334,74,Malaria,30,5
2024-07-31,Ward-1,37.7,66.3,30.1,32.4,7.2,6.96,5.91,8.58,2.75,-2.6666666666666687,118.2,62.708333333333336,91.66666666666666,65.31283333333334,20,COVID-19,70,1
2024-07-31,Ward-1,37.7,66.3,30.1,32.4,7.2,6.96,5.91,8.58,2.75,-2.6666666666666687,118.2,62.708333333333336,91.66666666666666,65.31283333333334,47,Flu,4,4
2024-07-31,Ward-1,37.7,66.3,30.1,32.4,7.2,6.92,4.21,4.41,3.39,-5.3333333333333375,84.2,106.14583333333334,113.0,80.02825000000001,20,COVID-19,70,1
2024-07-31,Ward-1,37.7,66.3,30.1,32.4,7.2,6.92,4.21,4.41,3.39,-5.3333333333333375,84.2,106.14583333333334,113.0,80.02825000000001,47,Flu,4,4
2024-07-31,Ward-1,30.9,85.0,72.3,1.5,5.7,6.96,5.91,8.58,2.75,-2.6666666666666687,118.2,62.708333333333336,91.66666666666666,65.31283333333334,20,COVID-19,70,1
2024-07-31,Ward-1,30.9,85.0,72.3,1.5,5.7,6.96,5.91,8.58,2.75,-2.6666666666666687,118.2,62.708333333333336,91.66666666666666,65.31283333333334,47,Flu,4,4
2024-07-31,Ward-1,30.9,85.0,72.3,1.5,5.7,6.92,4.21,4.41,3.39,-5.3333333333333375,84.2,106.14583333333334,113.0,80.02825000000001,20,COVID-19,70,1
2024-07-31,Ward-1,30.9,85.0,72.3,1.5,5.7,6.92,4.21,4.41,3.39,-5.3333333333333375,84.2,106.14583333333334,113.0,80.02825000000001,47,Flu,4,4
2024-08-17,Ward-1,11.4,20.8,53.7,40.1,18.2,7.1,5.53,6.89,3.81,6.666666666666643,110.6,80.3125,127.0,82.02891666666667,20,Malaria,51,2
2024-08-19,Ward-1,31.2,40.4,136.3,22.5,29.7,7.47,3.35,7.74,1.07,31.33333333333332,67.0,71.45833333333333,35.66666666666667,51.89583333333333,110,Cholera,41,6
2024-08-23,Ward-1,37.8,92.8,190.2,16.7,11.6,6.86,1.89,8.02,4.77,-9.33333333333331,37.8,68.54166666666667,159.0,71.81883333333334,18,COVID-19,8,6
2024-08-27,Ward-1,25.8,59.3,139.5,0.5,14.9,7.02,4.59,7.84,2.76,1.333333333333305,91.8,70.41666666666667,92.0,64.683,43,Dengue,28,8
2024-09-01,Ward-1,41.9,71.8,178.8,25.5,28.2,6.7,5.1,6.76,1.34,-19.999999999999982,102.0,81.66666666666667,44.66666666666667,52.19333333333334,104,Flu,7,9
2024-09-15,Ward-1,12.9,65.5,115.2,49.7,8.0,6.83,3.92,4.57,3.56,-11.333333333333329,78.4,104.47916666666666,118.66666666666669,78.80025,31,Cholera,6,4
2024-09-22,Ward-1,14.6,33.3,149.9,12.0,29.7,7.01,2.65,4.52,3.24,0.6666666666666525,53.0,105.0,108.0,74.56666666666666,117,COVID-19,78,8
2024-09-25,Ward-1,40.6,33.3,166.9,27.4,23.5,7.41,2.51,4.77,2.06,27.333333333333343,50.2,102.39583333333331,68.66666666666667,68.08658333333334,118,Flu,67,8
2024-09-26,Ward-1,28.5,74.1,137.3,33.6,7.7,7.32,3.91,4.47,1.83,21.33333333333335,78.2,105.52083333333331,61.0,70.16241666666667,12,Malaria,35,6
2024-10-06,Ward-1,16.6,79.4,151.0,38.9,18.2,6.71,1.96,4.67,3.07,-19.333333333333336,39.2,103.4375,102.33333333333331,65.84075,65,COVID-19,58,0
2024-10-09,Ward-1,36.3,91.1,79.2,33.9,9.6,6.81,1.79,5.5,4.56,-12.666666666666693,35.8,94.79166666666666,151.99999999999997,77.73049999999998,62,Typhoid,29,3
2024-10-12,Ward-1,31.8,68.2,114.4,29.7,15.0,7.1,4.33,7.06,2.33,6.666666666666643,86.6,78.54166666666667,77.66666666666667,63.7735,61,COVID-19,31,4
2024-10-17,Ward-1,41.0,29.0,137.0,20.4,13.5,7.07,4.92,6.79,4.44,4.666666666666686,98.4,81.35416666666666,148.00000000000003,85.87108333333335,59,Cholera,74,5
2024-10-18,Ward-1,40.6,30.2,137.3,38.6,24.1,6.88,1.19,4.35,3.89,-8.000000000000007,23.8,106.77083333333334,129.66666666666666,74.65674999999999,7,Typhoid,28,2
2024-10-19,Ward-1,29.6,40.7,89.0,23.4,20.5,6.74,2.74,6.56,3.09,-17.33333333333332,54.8,83.74999999999999,103.0,62.26966666666667,59,Dengue,1,3
2024-10-23,Ward-1,15.9,30.1,150.7,42.9,23.6,7.3,4.23,7.37,3.28,19.999999999999982,84.60000000000001,75.3125,109.33333333333331,74.15558333333334,95,Malaria,43,8
2024-10-24,Ward-1,37.2,86.3,192.6,24.7,17.8,7.4,1.51,8.42,4.39,26.66666666666669,30.2,64.375,146.33333333333331,73.5595,93,Dengue,21,0
2024-10-31,Ward-1,16.6,75.3,35.1,5.6,21.6,7.01,1.49,6.35,4.57,0.6666666666666525,29.8,85.9375,152.33333333333334,76.78675000000001,16,Malaria,24,3
2024-11-05,Ward-1,27.4,25.7,17.5,1.3,16.4,7.09,1.59,5.47,3.75,5.999999999999991,31.8,95.10416666666666,125.0,73.74341666666666,54,Malaria,4,1
2024-11-08,Ward-1,20.6,68.2,118.0,25.8,29.2,7.6,4.12,7.75,1.95,39.99999999999997,82.4,71.35416666666666,65.0,64.44441666666665,89,Flu,3,9
2024-11-22,Ward-1,20.6,64.6,111.7,33.2,25.9,7.54,3.33,6.32,4.85,36.00000000000001,66.60000000000001,86.25,161.66666666666666,93.16766666666668,108,Dengue,52,7
2024-12-14,Ward-1,21.5,45.2,114.7,36.2,28.4,7.38,2.92,7.47,4.8,25.333333333333325,58.4,74.27083333333333,160.0,84.96941666666666,61,Malaria,2,4
2024-12-15,Ward-1,31.4,23.0,191.0,41.5,10.4,7.25,3.08,4.75,2.2,16.666666666666664,61.6,102.60416666666669,73.33333333333334,68.94141666666667,75,COVID-19,54,7
2024-12-15,Ward-1,31.4,23.0,191.0,41.5,10.4,7.25,3.08,4.75,2.2,16.666666666666664,61.6,102.60416666666669,73.33333333333334,68.94141666666667,15,Cholera,3,7
2024-12-15,Ward-1,31.4,23.0,191.0,41.5,10.4,7.28,2.6,6.34,4.58,18.66666666666669,52.0,86.04166666666667,152.66666666666666,84.42750000000001,75,COVID-19,54,7
2024-12-15,Ward-1,31.4,23.0,191.0,41.5,10.4,7.28,2.6,6.34,4.58,18.66666666666669,52.0,86.04166666666667,152.66666666666666,84.42750000000001,15,Cholera,3,7
2024-12-15,Ward-1,15.2,87.2,118.6,43.0,24.8,7.25,3.08,4.75,2.2,16.666666666666664,61.6,102.60416666666669,73.33333333333334,68.94141666666667,75,COVID-19,54,7
2024-12-15,Ward-1,15.2,87.2,118.6,43.0,24.8,7.25,3.08,4.75,2.2,16.666666666666664,61.6,102.60416666666669,73.33333333333334,68.94141666666667,15,Cholera,3,7
2024-12-15,Ward-1,15.2,87.2,118.6,43.0,24.8,7.28,2.6,6.34,4.58,18.66666666666669,52.0,86.04166666666667,152.66666666666666,84.42750000000001,75,COVID-19,54,7
2024-12-15,Ward-1,15.2,87.2,118.6,43.0,24.8,7.28,2.6,6.34,4.58,18.66666666666669,52.0,86.04166666666667,152.66666666666666,84.42750000000001,15,Cholera,3,7
2024-12-16,Ward-1,16.5,34.7,14.6,34.7,24.5,6.54,3.83,7.9,1.29,-30.666666666666664,76.6,69.79166666666666,43.0,41.2785,89,Dengue,23,3
2024-12-17,Ward-1,25.5,49.0,79.6,26.8,20.5,7.57,2.96,7.71,2.17,38.000000000000014,59.2,71.77083333333333,72.33333333333333,62.48741666666666,89,Typhoid,33,1
2024-12-19,Ward-1,14.5,75.0,30.5,0.6,12.4,7.67,1.92,7.21,3.08,44.66666666666666,38.4,76.97916666666667,102.66666666666666,70.89025,22,Malaria,62,0
2024-12-27,Ward-1,26.2,49.7,31.4,36.8,11.7,7.07,4.63,4.73,2.34,4.666666666666686,92.6,102.8125,77.99999999999999,72.63891666666667,23,COVID-19,44,6
2024-12-31,Ward-1,34.8,68.6,192.6,47.2,9.3,7.67,5.25,7.88,3.57,44.66666666666666,105.0,70.0,119.0,83.74666666666667,91,Cholera,19,2
2025-01-04,Ward-1,34.6,35.1,71.8,41.4,28.6,6.76,5.95,6.02,4.14,-16.000000000000014,119.0,89.375,138.0,84.5475,11,Flu,77,3
2025-01-04,Ward-1,34.6,35.1,71.8,41.4,28.6,6.76,5.95,6.02,4.14,-16.000000000000014,119.0,89.375,138.0,84.5475,49,COVID-19,74,8
2025-01-04,Ward-1,34.6,35.1,71.8,41.4,28.6,6.88,3.12,8.99,2.22,-8.000000000000007,62.4,58.4375,74.00000000000001,48.81275000000001,11,Flu,77,3
2025-01-04,Ward-1,34.6,35.1,71.8,41.4,28.6,6.88,3.12,8.99,2.22,-8.000000000000007,62.4,58.4375,74.00000000000001,48.81275000000001,49,COVID-19,74,8
2025-01-04,Ward-1,16.1,82.5,150.0,24.9,19.5,6.76,5.95,6.02,4.14,-16.000000000000014,119.0,89.375,138.0,84.5475,11,Flu,77,3
2025-01-04,Ward-1,16.1,82.5,150.0,24.9,19.5,6.76,5.95,6.02,4.14,-16.000000000000014,119.0,89.375,138.0,84.5475,49,COVID-19,74,8
2025-01-04,Ward-1,16.1,82.5,150.0,24.9,19.5,6.88,3.12,8.99,2.22,-8.000000000000007,62.4,58.4375,74.00000000000001,48.81275000000001,11,Flu,77,3
2025-01-04,Ward-1,16.1,82.5,150.0,24.9,19.5,6.88,3.12,8.99,2.22,-8.000000000000007,62.4,58.4375,74.00000000000001,48.81275000000001,49,COVID-19,74,8
2025-01-09,Ward-1,36.5,30.1,113.1,11.0,21.2,6.81,1.43,5.04,1.57,-12.666666666666693,28.6,99.58333333333331,52.33333333333333,50.301,73,Dengue,34,5
2025-01-12,Ward-1,25.2,44.4,38.5,16.3,14.6,7.21,2.21,6.63,3.25,13.999999999999998,44.2,83.02083333333333,108.33333333333331,68.71241666666667,94,Typhoid,48,6
2025-01-15,Ward-1,19.9,46.7,68.1,27.4,20.8,7.5,1.74,6.94,2.18,33.33333333333333,34.8,79.79166666666666,72.66666666666667,60.37716666666667,34,Malaria,69,0
2025-01-22,Ward-1,30.4,71.8,45.3,18.6,9.1,7.17,4.53,8.19,3.0,11.333333333333329,90.6,66.77083333333333,100.0,67.69141666666667,6,Typhoid,59,0
2025-01-27,Ward-1,38.4,68.9,7.5,9.3,25.6,7.37,1.5,5.05,1.25,24.66666666666667,30.0,99.47916666666669,41.66666666666667,55.71625000000001,23,Flu,76,0
2025-01-29,Ward-1,15.1,67.5,47.6,9.2,9.1,7.45,5.89,4.49,3.14,30.00000000000001,117.8,105.3125,104.66666666666666,90.56091666666669,81,Cholera,20,3
2025-02-05,Ward-1,40.0,67.8,177.0,15.3,21.8,6.4,5.94,4.61,4.58,-39.99999999999997,118.8,104.0625,152.66666666666666,88.33591666666668,54,Cholera,47,3
2025-02-05,Ward-1,40.0,67.8,177.0,15.3,21.8,6.4,5.94,4.61,4.58,-39.99999999999997,118.8,104.0625,152.66666666666666,88.33591666666668,22,Cholera,20,0
2025-02-05,Ward-1,40.0,67.8,177.0,15.3,21.8,7.47,4.61,6.64,4.6,31.33333333333332,92.2,82.91666666666667,153.33333333333331,92.77033333333333,54,Cholera,47,3
2025-02-05,Ward-1,40.0,67.8,177.0,15.3,21.8,7.47,4.61,6.64,4.6,31.33333333333332,92.2,82.91666666666667,153.33333333333331,92.77033333333333,22,Cholera,20,0
2025-02-05,Ward-1,23.2,36.8,95.1,39.4,20.5,6.4,5.94,4.61,4.58,-39.99999999999997,118.8,104.0625,152.66666666666666,88.33591666666668,54,Cholera,47,3
2025-02-05,Ward-1,23.2,36.8,95.1,39.4,20.5,6.4,5.94,4.61,4.58,-39.99999999999997,118.8,104.0625,152.66666666666666,88.33591666666668,22,Cholera,20,0
2025-02-05,Ward-1,23.2,36.8,95.1,39.4,20.5,7.47,4.61,6.64,4.6,31.33333333333332,92.2,82.91666666666667,153.33333333333331,92.77033333333333,54,Cholera,47,3
2025-02-05,Ward-1,23.2,36.8,95.1,39.4,20.5,7.47,4.61,6.64,4.6,31.33333333333332,92.2,82.91666666666667,153.33333333333331,92.77033333333333,22,Cholera,20,0
2025-02-15,Ward-1,41.8,55.0,142.1,37.8,21.5,7.22,4.23,8.54,4.61,14.66666666666665,84.60000000000001,63.12500000000001,153.66666666666669,81.25183333333334,18,Dengue,32,4
2025-02-16,Ward-1,21.3,45.4,88.0,9.5,5.8,7.37,4.5,8.37,1.62,24.66666666666667,90.0,64.89583333333334,54.0,57.01125,8,Flu,60,7
